year,state,county,county_code,county_population,annual_adj_deaths,annual_crude_rate_10k,suppressed
2018,OK,Pawnee,40117,16390,121,73.8255033557047,FALSE
2018,OK,Pawnee,40117,16390,121,73.8255033557047,TRUE
2018,OK,Payne,40119,82040,357,43.515358361774744,FALSE
2018,OK,Pittsburg,40121,43877,345,78.62889440937165,FALSE
2018,OK,Pontotoc,40123,38247,285,74.51564828614009,FALSE
2018,OK,Pottawatomie,40125,72679,529,72.78581158243784,FALSE
2018,OK,Pushmataha,40127,11179,81,72.45728598264604,TRUE
2018,OK,Pushmataha,40127,11179,81,72.45728598264604,FALSE
2018,OK,Roger Mills,40129,3656,18,49.23413566739606,TRUE
2018,OK,Roger Mills,40129,3656,18,49.23413566739606,FALSE
2018,OK,Rogers,40131,91984,533,57.944859975647944,FALSE
2018,OK,Seminole,40133,24578,218,88.69720888599561,FALSE
2018,OK,Sequoyah,40135,41179,352,85.48046334296608,FALSE
2018,OK,Stephens,40137,43265,379,87.59967641280481,FALSE
2018,OK,Texas,40139,20455,117,57.19872891713517,FALSE
2018,OK,Texas,40139,20455,117,57.19872891713517,TRUE
2018,OK,Tillman,40141,7348,63,85.73761567773545,TRUE
2018,OK,Tillman,40141,7348,63,85.73761567773545,FALSE
2018,OK,Tulsa,40143,648360,4027,62.11055586402616,FALSE
2018,OK,Wagoner,40145,80110,363,45.31269504431406,FALSE
2018,OK,Washington,40147,51843,439,84.67874158517061,FALSE
2018,OK,Washita,40149,11127,88,79.08690572481352,FALSE
2018,OK,Washita,40149,11127,88,79.08690572481352,TRUE
2018,OK,Woods,40151,8897,80,89.91794987074294,TRUE
2018,OK,Woods,40151,8897,80,89.91794987074294,FALSE
2018,OK,Woodward,40153,20222,123,60.82484422905746,FALSE
2018,OK,Woodward,40153,20222,123,60.82484422905746,TRUE
2019,OK,Adair,40001,22194,125,56.321528340993055,TRUE
2019,OK,Adair,40001,22194,125,56.321528340993055,FALSE
2019,OK,Alfalfa,40003,5702,40,70.1508242721852,TRUE
2019,OK,Atoka,40005,13758,94,68.32388428550661,FALSE
2019,OK,Atoka,40005,13758,94,68.32388428550661,TRUE
2019,OK,Beaver,40007,5311,47,88.49557522123894,TRUE
2019,OK,Beaver,40007,5311,47,88.49557522123894,FALSE
2019,OK,Beckham,40009,21859,148,67.70666544672675,FALSE
2019,OK,Beckham,40009,21859,148,67.70666544672675,TRUE
2019,OK,Blaine,40011,9429,96,101.81355392936685,TRUE
2019,OK,Blaine,40011,9429,96,101.81355392936685,FALSE
2019,OK,Bryan,40013,47995,347,72.29919783310761,FALSE
2019,OK,Caddo,40015,28762,231,80.31430359502122,FALSE
2019,OK,Canadian,40017,148306,732,49.35740967998597,FALSE
