year,state,county,county_code,county_population,annual_adj_deaths,annual_crude_rate_10k
2019,OK,Garvin,40049,27711,198,71.45177005521273
2019,OK,Grady,40051,55834,362,64.8350467457105
2019,OK,Grant,40053,4333,49,113.08562197092084
2019,OK,Greer,40055,5712,40,70.0280112044818
2019,OK,Harmon,40057,2653,20,75.38635506973237
2019,OK,Harper,40059,3688,28,75.92190889370933
2019,OK,Haskell,40061,12627,116,91.86663498851668
2019,OK,Hughes,40063,13279,107,80.57835680397619
2019,OK,Jackson,40065,24530,156,63.59559722788423
2019,OK,Jefferson,40067,6002,43,71.6427857380873
2019,OK,Johnston,40069,11085,80,72.16959855660802
2019,OK,Kay,40071,43538,376,86.3613395195002
2019,OK,Kingfisher,40073,15765,119,75.4836663495084
2019,OK,Kiowa,40075,8708,110,126.32062471290766
2019,OK,Latimer,40077,10073,70,69.49270326615705
2019,OK,Le Flore,40079,49853,399,80.03530379315187
2019,OK,Lincoln,40081,34877,208,59.63815695157267
2019,OK,Logan,40083,48011,242,50.40511549436587
2019,OK,Love,40085,10253,84,81.92724080756851
2019,OK,McClain,40087,40474,204,50.40272767702723
2019,OK,McCurtain,40089,32832,242,73.70857699805067
2019,OK,McIntosh,40091,19596,163,83.18024086548276
2019,OK,Major,40093,7629,57,74.7149036570979
2019,OK,Marshall,40095,16931,112,66.15084755773434
2019,OK,Mayes,40097,41100,302,73.47931873479318
2019,OK,Murray,40099,14073,140,99.48127620265757
2019,OK,Muskogee,40101,67997,621,91.32755856876038
2019,OK,Noble,40103,11131,92,82.65205282544247
2019,OK,Nowata,40105,10076,75,74.43429932512902
2019,OK,Okfuskee,40107,11993,127,105.89510547819562
2019,OK,Oklahoma,40109,797434,4665,58.50013919647268
2019,OK,Okmulgee,40111,38465,317,82.41258286754193
2019,OK,Osage,40113,46963,289,61.53780635819688
2019,OK,Ottawa,40115,31127,278,89.3115301827995
2019,OK,Pawnee,40117,16376,119,72.66731802638007
2019,OK,Payne,40119,81784,381,46.58612931624767
2019,OK,Pittsburg,40121,43654,349,79.94685481284647
2019,OK,Pontotoc,40123,38284,236,61.644551248563374
2019,OK,Pottawatomie,40125,72592,510,70.25567555653515
2019,OK,Pushmataha,40127,11096,84,75.70295602018746
2019,OK,Roger Mills,40129,3583,20,55.8191459670667
2019,OK,Rogers,40131,92459,560,60.56738662542316
2019,OK,Seminole,40133,24258,220,90.6917305631132
2019,OK,Sequoyah,40135,41569,294,70.72578123120594
2019,OK,Stephens,40137,43143,369,85.52951811417842
2019,OK,Texas,40139,19983,130,65.05529700245208
2019,OK,Tillman,40141,7250,47,64.82758620689656
2019,OK,Tulsa,40143,651552,3940,60.47099847748146
2019,OK,Wagoner,40145,81289,381,46.86981018341965
2019,OK,Washington,40147,51527,414,80.34622625031537
2019,OK,Washita,40149,10916,100,91.60864785635765
2019,OK,Woods,40151,8793,101,114.86409644035028
2019,OK,Woodward,40153,20211,142,70.25876997674534
2020,OK,Adair,40001,21955,141,64.22227283079026
2020,OK,Alfalfa,40003,5718,50,87.44316194473592
2020,OK,Atoka,40005,13912,114,81.943645773433
2020,OK,Beaver,40007,5207,38,72.97868254273094
2020,OK,Beckham,40009,21468,174,81.05086640581331
2020,OK,Blaine,40011,9447,89,94.20980205356199
2020,OK,Bryan,40013,48998,339,69.18649740805748
2020,OK,Caddo,40015,28684,237,82.62445962906149
2020,OK,Canadian,40017,153192,644,42.03874875972635
2020,OK,Carter,40019,48353,371,76.72740057493847
2020,OK,Cherokee,40021,49019,311,63.44478671535528
2020,OK,Choctaw,40023,14646,146,99.68592107059948
2020,OK,Cimarron,40025,2145,12,55.94405594405595
2020,OK,Cleveland,40027,287066,1249,43.50915817268503
