Notes,County,County Code,Deaths,Population,Crude Rate
,"Anderson County, TX",48001,692,58057,1191.9
,"Andrews County, TX",48003,130,18128,717.1
,"Angelina County, TX",48005,964,87092,1106.9
,"Aransas County, TX",48007,309,23792,1298.8
,"Archer County, TX",48009,80,8786,910.5
,"Armstrong County, TX",48011,26,1892,1374.2
,"Atascosa County, TX",48013,430,50310,854.7
,"Austin County, TX",48015,279,29989,930.3
,"Bailey County, TX",48017,56,7027,796.9
,"Bandera County, TX",48019,262,22824,1147.9
,"Bastrop County, TX",48021,723,86976,831.3
,"Baylor County, TX",48023,68,3582,1898.4
,"Bee County, TX",48025,293,32587,899.1
,"Bell County, TX",48027,2337,355642,657.1
,"Bexar County, TX",48029,14165,1986049,713.2
,"Blanco County, TX",48031,142,11702,1213.5
,"Borden County, TX",48033,Suppressed,648,Suppressed
,"Bosque County, TX",48035,261,18691,1396.4
,"Bowie County, TX",48037,1112,94324,1178.9
,"Brazoria County, TX",48039,2383,370200,643.7
,"Brazos County, TX",48041,1122,226758,494.8
,"Brewster County, TX",48043,79,9267,852.5
,"Briscoe County, TX",48045,17,1516,Unreliable
,"Brooks County, TX",48047,83,7114,1166.7
,"Brown County, TX",48049,465,37924,1226.1
,"Burleson County, TX",48051,236,18389,1283.4
,"Burnet County, TX",48053,528,47542,1110.6
,"Caldwell County, TX",48055,393,43247,908.7
,"Calhoun County, TX",48057,208,21561,964.7
,"Callahan County, TX",48059,166,13994,1186.2
,"Cameron County, TX",48061,2796,423908,659.6
,"Camp County, TX",48063,152,13033,1166.3
,"Carson County, TX",48065,57,6005,949.2
,"Cass County, TX",48067,378,30119,1255
,"Castro County, TX",48069,75,7665,978.5
,"Chambers County, TX",48071,289,42454,680.7
,"Cherokee County, TX",48073,568,52592,1080
,"Childress County, TX",48075,61,7291,836.6
,"Clay County, TX",48077,120,10456,1147.7
,"Cochran County, TX",48079,23,2836,811
,"Coke County, TX",48081,48,3370,1424.3
,"Coleman County, TX",48083,140,8397,1667.3
,"Collin County, TX",48085,4704,1005146,468
,"Collingsworth County, TX",48087,46,2962,1553
,"Colorado County, TX",48089,246,21217,1159.4
,"Comal County, TX",48091,1352,148373,911.2
,"Comanche County, TX",48093,180,13534,1330
,"Concho County, TX",48095,27,4276,631.4
,"Cooke County, TX",48097,412,40574,1015.4
,"Coryell County, TX",48099,498,74808,665.7
,"Cottle County, TX",48101,24,1389,1727.9
,"Crane County, TX",48103,37,4794,771.8
,"Crockett County, TX",48105,41,3499,1171.8
,"Crosby County, TX",48107,81,5779,1401.6
,"Culberson County, TX",48109,20,2204,907.4
,"Dallam County, TX",48111,36,7200,500
,"Dallas County, TX",48113,16679,2637772,632.3
,"Dawson County, TX",48115,140,12619,1109.4
,"Deaf Smith County, TX",48117,148,18760,788.9
,"Delta County, TX",48119,86,5349,1607.8
,"Denton County, TX",48121,3890,859064,452.8
,"DeWitt County, TX",48123,288,20187,1426.7
,"Dickens County, TX",48125,29,2249,1289.5
,"Dimmit County, TX",48127,96,10308,931.3
,"Donley County, TX",48129,43,3319,1295.6
,"Duval County, TX",48131,121,11212,1079.2
,"Eastland County, TX",48133,252,18322,1375.4
,"Ector County, TX",48135,1213,162124,748.2
,"Edwards County, TX",48137,25,1928,1296.7
,"Ellis County, TX",48139,1309,179436,729.5
,"El Paso County, TX",48141,5604,840758,666.5
,"Erath County, TX",48143,326,42446,768
,"Falls County, TX",48145,191,17335,1101.8
,"Fannin County, TX",48147,442,35286,1252.6
,"Fayette County, TX",48149,305,25349,1203.2
,"Fisher County, TX",48151,40,3839,1041.9
,"Floyd County, TX",48153,66,5837,1130.7
,"Foard County, TX",48155,22,1200,1833.3
,"Fort Bend County, TX",48157,3513,787858,445.9
,"Franklin County, TX",48159,136,10766,1263.2
,"Freestone County, TX",48161,252,19808,1272.2
,"Frio County, TX",48163,157,19816,792.3
,"Gaines County, TX",48165,118,20901,564.6
,"Galveston County, TX",48167,2850,337890,843.5
,"Garza County, TX",48169,49,6578,744.9
,"Gillespie County, TX",48171,378,26804,1410.2
,"Glasscock County, TX",48173,Suppressed,1388,Suppressed
,"Goliad County, TX",48175,79,7584,1041.7
,"Gonzales County, TX",48177,196,20826,941.1
,"Gray County, TX",48179,280,21895,1278.8
,"Grayson County, TX",48181,1583,133991,1181.4
,"Gregg County, TX",48183,1343,123707,1085.6
,"Grimes County, TX",48185,280,28360,987.3
,"Guadalupe County, TX",48187,1189,163694,726.4
,"Hale County, TX",48189,321,33830,948.9
,"Hall County, TX",48191,35,3028,1155.9
,"Hamilton County, TX",48193,127,8484,1496.9
,"Hansford County, TX",48195,45,5463,823.7
,"Hardeman County, TX",48197,48,3922,1223.9
,"Hardin County, TX",48199,621,57207,1085.5
,"Harris County, TX",48201,27167,4698619,578.2
,"Harrison County, TX",48203,704,66726,1055.1
,"Hartley County, TX",48205,47,5619,836.4
,"Haskell County, TX",48207,80,5813,1376.2
,"Hays County, TX",48209,1170,222631,525.5
,"Hemphill County, TX",48211,24,3825,627.5
,"Henderson County, TX",48213,1105,82299,1342.7
,"Hidalgo County, TX",48215,4463,865939,515.4
,"Hill County, TX",48217,471,36354,1295.6
,"Hockley County, TX",48219,203,22980,883.4
