Notes,County,County Code,Deaths,Population,Crude Rate
,"Anderson County, TX",48001,692,58057,1191.932066762
,"Andrews County, TX",48003,130,18128,717.122683142
,"Angelina County, TX",48005,964,87092,1106.87548799
,"Aransas County, TX",48007,309,23792,1298.755884331
,"Archer County, TX",48009,80,8786,910.539494651
,"Armstrong County, TX",48011,26,1892,1374.207188161
,"Atascosa County, TX",48013,430,50310,854.700854701
,"Austin County, TX",48015,279,29989,930.341125079
,"Bailey County, TX",48017,56,7027,796.926142024
,"Bandera County, TX",48019,262,22824,1147.91447599
,"Bastrop County, TX",48021,723,86976,831.26379691
,"Baylor County, TX",48023,68,3582,1898.380792853
,"Bee County, TX",48025,293,32587,899.131555528
,"Bell County, TX",48027,2337,355642,657.121487338
,"Bexar County, TX",48029,14165,1986049,713.225101697
,"Blanco County, TX",48031,142,11702,1213.467783285
,"Borden County, TX",48033,Suppressed,648,Suppressed
,"Bosque County, TX",48035,261,18691,1396.393986411
,"Bowie County, TX",48037,1112,94324,1178.915228362
,"Brazoria County, TX",48039,2383,370200,643.706104808
,"Brazos County, TX",48041,1122,226758,494.800624454
,"Brewster County, TX",48043,79,9267,852.4873206
,"Briscoe County, TX",48045,17,1516,Unreliable
,"Brooks County, TX",48047,83,7114,1166.713522631
,"Brown County, TX",48049,465,37924,1226.136483493
,"Burleson County, TX",48051,236,18389,1283.375931263
,"Burnet County, TX",48053,528,47542,1110.596945858
,"Caldwell County, TX",48055,393,43247,908.733553773
,"Calhoun County, TX",48057,208,21561,964.704791058
,"Callahan County, TX",48059,166,13994,1186.222666857
,"Cameron County, TX",48061,2796,423908,659.577078045
,"Camp County, TX",48063,152,13033,1166.27023709
,"Carson County, TX",48065,57,6005,949.208992506
,"Cass County, TX",48067,378,30119,1255.02174707
,"Castro County, TX",48069,75,7665,978.473581213
,"Chambers County, TX",48071,289,42454,680.736797475
,"Cherokee County, TX",48073,568,52592,1080.012169151
,"Childress County, TX",48075,61,7291,836.647922096
,"Clay County, TX",48077,120,10456,1147.66641163
,"Cochran County, TX",48079,23,2836,811.001410437
,"Coke County, TX",48081,48,3370,1424.332344214
,"Coleman County, TX",48083,140,8397,1667.262117423
,"Collin County, TX",48085,4704,1005146,467.991714636
,"Collingsworth County, TX",48087,46,2962,1553.004726536
,"Colorado County, TX",48089,246,21217,1159.447612763
,"Comal County, TX",48091,1352,148373,911.217000398
,"Comanche County, TX",48093,180,13534,1329.983744643
,"Concho County, TX",48095,27,4276,631.431244153
