Notes,County,County Code,Month,Month Code,Deaths,Population,Crude Rate
,"Anderson County, TX",48001,"Jan., 2018",2018/01,0,Not Applicable,Not Applicable
,"Anderson County, TX",48001,"Feb., 2018",2018/02,0,Not Applicable,Not Applicable
,"Anderson County, TX",48001,"Mar., 2018",2018/03,0,Not Applicable,Not Applicable
,"Anderson County, TX",48001,"Apr., 2018",2018/04,0,Not Applicable,Not Applicable
,"Anderson County, TX",48001,"May, 2018",2018/05,0,Not Applicable,Not Applicable
,"Anderson County, TX",48001,"Jun., 2018",2018/06,0,Not Applicable,Not Applicable
,"Anderson County, TX",48001,"Jul., 2018",2018/07,0,Not Applicable,Not Applicable
,"Anderson County, TX",48001,"Aug., 2018",2018/08,0,Not Applicable,Not Applicable
,"Anderson County, TX",48001,"Sep., 2018",2018/09,0,Not Applicable,Not Applicable
,"Anderson County, TX",48001,"Oct., 2018",2018/10,0,Not Applicable,Not Applicable
,"Anderson County, TX",48001,"Nov., 2018",2018/11,0,Not Applicable,Not Applicable
,"Anderson County, TX",48001,"Dec., 2018",2018/12,0,Not Applicable,Not Applicable
Total,"Anderson County, TX",48001,,,0,Not Applicable,Not Applicable
,"Andrews County, TX",48003,"Jan., 2018",2018/01,0,Not Applicable,Not Applicable
,"Andrews County, TX",48003,"Feb., 2018",2018/02,0,Not Applicable,Not Applicable
,"Andrews County, TX",48003,"Mar., 2018",2018/03,0,Not Applicable,Not Applicable
,"Andrews County, TX",48003,"Apr., 2018",2018/04,0,Not Applicable,Not Applicable
,"Andrews County, TX",48003,"May, 2018",2018/05,0,Not Applicable,Not Applicable
,"Andrews County, TX",48003,"Jun., 2018",2018/06,0,Not Applicable,Not Applicable
,"Andrews County, TX",48003,"Jul., 2018",2018/07,0,Not Applicable,Not Applicable
,"Andrews County, TX",48003,"Aug., 2018",2018/08,0,Not Applicable,Not Applicable
,"Andrews County, TX",48003,"Sep., 2018",2018/09,0,Not Applicable,Not Applicable
,"Andrews County, TX",48003,"Oct., 2018",2018/10,0,Not Applicable,Not Applicable
,"Andrews County, TX",48003,"Nov., 2018",2018/11,0,Not Applicable,Not Applicable
,"Andrews County, TX",48003,"Dec., 2018",2018/12,0,Not Applicable,Not Applicable
Total,"Andrews County, TX",48003,,,0,Not Applicable,Not Applicable
,"Angelina County, TX",48005,"Jan., 2018",2018/01,0,Not Applicable,Not Applicable
,"Angelina County, TX",48005,"Feb., 2018",2018/02,0,Not Applicable,Not Applicable
,"Angelina County, TX",48005,"Mar., 2018",2018/03,0,Not Applicable,Not Applicable
,"Angelina County, TX",48005,"Apr., 2018",2018/04,0,Not Applicable,Not Applicable
,"Angelina County, TX",48005,"May, 2018",2018/05,0,Not Applicable,Not Applicable
,"Angelina County, TX",48005,"Jun., 2018",2018/06,0,Not Applicable,Not Applicable
,"Angelina County, TX",48005,"Jul., 2018",2018/07,0,Not Applicable,Not Applicable
,"Angelina County, TX",48005,"Aug., 2018",2018/08,0,Not Applicable,Not Applicable
,"Angelina County, TX",48005,"Sep., 2018",2018/09,0,Not Applicable,Not Applicable
,"Angelina County, TX",48005,"Oct., 2018",2018/10,0,Not Applicable,Not Applicable
,"Angelina County, TX",48005,"Nov., 2018",2018/11,0,Not Applicable,Not Applicable
,"Angelina County, TX",48005,"Dec., 2018",2018/12,0,Not Applicable,Not Applicable
Total,"Angelina County, TX",48005,,,0,Not Applicable,Not Applicable
,"Aransas County, TX",48007,"Jan., 2018",2018/01,0,Not Applicable,Not Applicable
,"Aransas County, TX",48007,"Feb., 2018",2018/02,0,Not Applicable,Not Applicable
,"Aransas County, TX",48007,"Mar., 2018",2018/03,0,Not Applicable,Not Applicable
,"Aransas County, TX",48007,"Apr., 2018",2018/04,0,Not Applicable,Not Applicable
,"Aransas County, TX",48007,"May, 2018",2018/05,0,Not Applicable,Not Applicable
,"Aransas County, TX",48007,"Jun., 2018",2018/06,0,Not Applicable,Not Applicable
,"Aransas County, TX",48007,"Jul., 2018",2018/07,0,Not Applicable,Not Applicable
,"Aransas County, TX",48007,"Aug., 2018",2018/08,0,Not Applicable,Not Applicable
,"Aransas County, TX",48007,"Sep., 2018",2018/09,0,Not Applicable,Not Applicable
,"Aransas County, TX",48007,"Oct., 2018",2018/10,0,Not Applicable,Not Applicable
,"Aransas County, TX",48007,"Nov., 2018",2018/11,0,Not Applicable,Not Applicable
,"Aransas County, TX",48007,"Dec., 2018",2018/12,0,Not Applicable,Not Applicable
Total,"Aransas County, TX",48007,,,0,Not Applicable,Not Applicable
,"Archer County, TX",48009,"Jan., 2018",2018/01,0,Not Applicable,Not Applicable
,"Archer County, TX",48009,"Feb., 2018",2018/02,0,Not Applicable,Not Applicable
,"Archer County, TX",48009,"Mar., 2018",2018/03,0,Not Applicable,Not Applicable
