Notes,County,County Code,Deaths,Population,Crude Rate
,"Kerr County, TX",48265,831,52869,1571.8
,"Kimble County, TX",48267,65,4396,1478.6
,"King County, TX",48269,Suppressed,283,Suppressed
,"Kinney County, TX",48271,47,3670,1280.7
,"Kleberg County, TX",48273,349,30338,1150.4
,"Knox County, TX",48275,75,3683,2036.4
,"Lamar County, TX",48277,791,49905,1585
,"Lamb County, TX",48279,225,12710,1770.3
,"Lampasas County, TX",48281,286,21789,1312.6
,"La Salle County, TX",48283,78,7500,1040
,"Lavaca County, TX",48285,319,20216,1578
,"Lee County, TX",48287,227,17397,1304.8
,"Leon County, TX",48289,252,17493,1440.6
,"Liberty County, TX",48291,888,91547,970
,"Limestone County, TX",48293,338,23340,1448.2
,"Lipscomb County, TX",48295,36,3111,1157.2
,"Live Oak County, TX",48297,157,12324,1273.9
,"Llano County, TX",48299,378,21958,1721.5
,"Loving County, TX",48301,0,181,Unreliable
,"Lubbock County, TX",48303,3479,314772,1105.2
,"Lynn County, TX",48305,94,6025,1560.2
,"McCulloch County, TX",48307,125,7823,1597.9
,"McLennan County, TX",48309,2749,259730,1058.4
,"McMullen County, TX",48311,18,721,Unreliable
,"Madison County, TX",48313,168,14427,1164.5
,"Marion County, TX",48315,187,9960,1877.5
,"Martin County, TX",48317,66,5816,1134.8
,"Mason County, TX",48319,48,4344,1105
,"Matagorda County, TX",48321,467,36725,1271.6
,"Maverick County, TX",48323,690,58378,1182
,"Medina County, TX",48325,522,52358,997
,"Menard County, TX",48327,41,2124,1930.3
,"Midland County, TX",48329,1317,177863,740.5
,"Milam County, TX",48331,308,24708,1246.6
,"Mills County, TX",48333,78,4840,1611.6
,"Mitchell County, TX",48335,92,8202,1121.7
,"Montague County, TX",48337,375,19962,1878.6
,"Montgomery County, TX",48339,4688,626351,748.5
,"Moore County, TX",48341,197,20654,953.8
,"Morris County, TX",48343,196,12393,1581.5
,"Motley County, TX",48345,23,1185,1940.9
,"Nacogdoches County, TX",48347,760,64753,1173.7
,"Navarro County, TX",48349,635,50694,1252.6
,"Newton County, TX",48351,214,13414,1595.3
,"Nolan County, TX",48353,229,14835,1543.6
,"Nueces County, TX",48355,3792,363148,1044.2
,"Ochiltree County, TX",48357,107,9598,1114.8
,"Oldham County, TX",48359,20,2135,936.8
,"Orange County, TX",48361,1153,82878,1391.2
,"Palo Pinto County, TX",48363,457,29320,1558.7
,"Panola County, TX",48365,391,23187,1686.3
,"Parker County, TX",48367,1424,148198,960.9
,"Parmer County, TX",48369,121,9522,1270.7
,"Pecos County, TX",48371,194,15718,1234.3
,"Polk County, TX",48373,837,52995,1579.4
,"Potter County, TX",48375,1645,116004,1418.1
,"Presidio County, TX",48377,66,6508,1014.1
,"Rains County, TX",48379,193,12552,1537.6
,"Randall County, TX",48381,1407,139899,1005.7
,"Reagan County, TX",48383,34,3833,887
,"Real County, TX",48385,73,3411,2140.1
,"Red River County, TX",48387,256,11995,2134.2
,"Reeves County, TX",48389,150,15949,940.5
,"Refugio County, TX",48391,110,6877,1599.5
,"Roberts County, TX",48393,13,813,Unreliable
,"Robertson County, TX",48395,235,17155,1369.9
,"Rockwall County, TX",48397,753,109888,685.2
,"Runnels County, TX",48399,163,10401,1567.2
,"Rusk County, TX",48401,684,54324,1259.1
,"Sabine County, TX",48403,194,10507,1846.4
,"San Augustine County, TX",48405,174,8248,2109.6
,"San Jacinto County, TX",48407,379,29301,1293.5
,"San Patricio County, TX",48409,770,67069,1148.1
,"San Saba County, TX",48411,100,6039,1655.9
,"Schleicher County, TX",48413,28,2761,1014.1
,"Scurry County, TX",48415,223,16662,1338.4
,"Shackelford County, TX",48417,51,3300,1545.5
,"Shelby County, TX",48419,336,24915,1348.6
,"Sherman County, TX",48421,29,3027,958
,"Smith County, TX",48423,2736,235806,1160.3
,"Somervell County, TX",48425,113,9139,1236.5
,"Starr County, TX",48427,721,64266,1121.9
,"Stephens County, TX",48429,144,9334,1542.7
,"Sterling County, TX",48431,14,1315,Unreliable
,"Stonewall County, TX",48433,28,1348,2077.2
