Notes,County,County Code,Deaths,Population,Crude Rate
,"Anderson County, TX",48001,884,58402,1513.6
,"Andrews County, TX",48003,159,18440,862.3
,"Angelina County, TX",48005,1257,86506,1453.1
,"Aransas County, TX",48007,430,24510,1754.4
,"Archer County, TX",48009,112,8681,1290.2
,"Armstrong County, TX",48011,31,1839,1685.7
,"Atascosa County, TX",48013,629,49939,1259.5
,"Austin County, TX",48015,365,30380,1201.4
,"Bailey County, TX",48017,81,6835,1185.1
,"Bandera County, TX",48019,329,21565,1525.6
,"Bastrop County, TX",48021,944,102058,925
,"Baylor County, TX",48023,81,3477,2329.6
,"Bee County, TX",48025,399,30924,1290.3
,"Bell County, TX",48027,3358,379617,884.6
,"Bexar County, TX",48029,18972,2028236,935.4
,"Blanco County, TX",48031,157,11886,1320.9
,"Borden County, TX",48033,Suppressed,617,Suppressed
,"Bosque County, TX",48035,303,18503,1637.6
,"Bowie County, TX",48037,1381,92581,1491.7
,"Brazoria County, TX",48039,3458,379689,910.7
,"Brazos County, TX",48041,1414,237032,596.5
,"Brewster County, TX",48043,109,9450,1153.4
,"Briscoe County, TX",48045,16,1403,Unreliable
,"Brooks County, TX",48047,98,6994,1401.2
,"Brown County, TX",48049,647,38192,1694.1
,"Burleson County, TX",48051,297,18051,1645.3
,"Burnet County, TX",48053,693,50954,1360.1
,"Caldwell County, TX",48055,489,46791,1045.1
,"Calhoun County, TX",48057,268,19727,1358.5
,"Callahan County, TX",48059,231,14115,1636.6
,"Cameron County, TX",48061,3809,423029,900.4
,"Camp County, TX",48063,233,12616,1846.9
,"Carson County, TX",48065,85,5746,1479.3
,"Cass County, TX",48067,590,28560,2065.8
,"Castro County, TX",48069,96,7374,1301.9
,"Chambers County, TX",48071,418,48865,855.4
,"Cherokee County, TX",48073,795,51097,1555.9
,"Childress County, TX",48075,84,6736,1247
,"Clay County, TX",48077,152,10263,1481
,"Cochran County, TX",48079,46,2516,1828.3
,"Coke County, TX",48081,69,3321,2077.7
,"Coleman County, TX",48083,214,7735,2766.6
,"Collin County, TX",48085,6214,1109462,560.1
,"Collingsworth County, TX",48087,42,2615,1606.1
,"Colorado County, TX",48089,344,20630,1667.5
,"Comal County, TX",48091,1784,174986,1019.5
,"Comanche County, TX",48093,220,13775,1597.1
,"Concho County, TX",48095,34,3341,1017.7
,"Cooke County, TX",48097,521,42244,1233.3
,"Coryell County, TX",48099,706,84232,838.2
,"Cottle County, TX",48101,21,1381,1520.6
,"Crane County, TX",48103,48,4680,1025.6
,"Crockett County, TX",48105,55,3068,1792.7
,"Crosby County, TX",48107,99,5106,1938.9
,"Culberson County, TX",48109,31,2193,1413.6
,"Dallam County, TX",48111,79,7172,1101.5
,"Dallas County, TX",48113,20609,2586050,796.9
,"Dawson County, TX",48115,166,12413,1337.3
,"Deaf Smith County, TX",48117,216,18329,1178.5
,"Delta County, TX",48119,91,5392,1687.7
,"Denton County, TX",48121,5346,941647,567.7
,"DeWitt County, TX",48123,289,19918,1450.9
,"Dickens County, TX",48125,30,1740,1724.1
,"Dimmit County, TX",48127,157,8473,1852.9
,"Donley County, TX",48129,64,3268,1958.4
,"Duval County, TX",48131,173,9756,1773.3
,"Eastland County, TX",48133,383,17864,2144
,"Ector County, TX",48135,1615,161091,1002.5
,"Edwards County, TX",48137,31,1438,2155.8
,"Ellis County, TX",48139,1821,202678,898.5
,"El Paso County, TX",48141,7307,867947,841.9
,"Erath County, TX",48143,463,43378,1067.4
,"Falls County, TX",48145,245,17313,1415.1
,"Fannin County, TX",48147,597,36569,1632.5
,"Fayette County, TX",48149,391,24687,1583.8
,"Fisher County, TX",48151,66,3706,1780.9
,"Floyd County, TX",48153,93,5350,1738.3
,"Foard County, TX",48155,25,1080,2314.8
,"Fort Bend County, TX",48157,4858,858527,565.9
,"Franklin County, TX",48159,129,10464,1232.8
,"Freestone County, TX",48161,256,19774,1294.6
,"Frio County, TX",48163,221,18436,1198.7
,"Gaines County, TX",48165,176,21895,803.8
,"Galveston County, TX",48167,3695,355062,1040.7
,"Garza County, TX",48169,64,5863,1091.6
,"Gillespie County, TX",48171,417,27297,1527.6
,"Glasscock County, TX",48173,12,1149,Unreliable
,"Goliad County, TX",48175,98,7163,1368.1
,"Gonzales County, TX",48177,272,19641,1384.9
,"Gray County, TX",48179,350,21030,1664.3
,"Grayson County, TX",48181,1971,139336,1414.6
,"Gregg County, TX",48183,1828,124201,1471.8
,"Grimes County, TX",48185,396,30287,1307.5
,"Guadalupe County, TX",48187,1617,177036,913.4
,"Hale County, TX",48189,395,32220,1225.9
,"Hall County, TX",48191,52,2845,1827.8
,"Hamilton County, TX",48193,157,8229,1907.9
,"Hansford County, TX",48195,62,5159,1201.8
,"Hardeman County, TX",48197,46,3552,1295
,"Hardin County, TX",48199,806,56973,1414.7
,"Harris County, TX",48201,36311,4728030,768
,"Harrison County, TX",48203,952,69150,1376.7
,"Hartley County, TX",48205,46,5397,852.3
,"Haskell County, TX",48207,111,5411,2051.4
,"Hays County, TX",48209,1649,255397,645.7
,"Hemphill County, TX",48211,24,3271,733.7
,"Henderson County, TX",48213,1572,83667,1878.9
,"Hidalgo County, TX",48215,6411,880356,728.2
,"Hill County, TX",48217,673,36471,1845.3
,"Hockley County, TX",48219,294,21363,1376.2
,"Hood County, TX",48221,991,64222,1543.1
,"Hopkins County, TX",48223,525,37211,1410.9
,"Houston County, TX",48225,395,22241,1776
,"Howard County, TX",48227,460,34128,1347.9
,"Hudspeth County, TX",48229,39,3287,1186.5
,"Hunt County, TX",48231,1303,103394,1260.2
,"Hutchinson County, TX",48233,348,20495,1698
,"Irion County, TX",48235,24,1552,1546.4
,"Jack County, TX",48237,108,8712,1239.7
,"Jackson County, TX",48239,171,15121,1130.9
,"Jasper County, TX",48241,607,32975,1840.8
,"Jeff Davis County, TX",48243,28,1949,1436.6
,"Jefferson County, TX",48245,3192,253704,1258.2
,"Jim Hogg County, TX",48247,69,4801,1437.2
,"Jim Wells County, TX",48249,594,38847,1529.1
,"Johnson County, TX",48251,2033,187280,1085.5
,"Jones County, TX",48253,260,19873,1308.3
,"Karnes County, TX",48255,176,14754,1192.9
,"Kaufman County, TX",48257,1471,157768,932.4
,"Kendall County, TX",48259,457,46788,976.7
,"Kenedy County, TX",48261,Suppressed,340,Suppressed
,"Kent County, TX",48263,20,749,2670.2
,"Kerr County, TX",48265,864,53161,1625.3
,"Kimble County, TX",48267,63,4365,1443.3
,"King County, TX",48269,0,258,Unreliable
,"Kinney County, TX",48271,53,3130,1693.3
,"Kleberg County, TX",48273,336,30635,1096.8
,"Knox County, TX",48275,72,3351,2148.6
,"Lamar County, TX",48277,823,50098,1642.8
,"Lamb County, TX",48279,174,12898,1349
,"Lampasas County, TX",48281,330,22252,1483
,"La Salle County, TX",48283,86,6670,1289.4
,"Lavaca County, TX",48285,296,20544,1440.8
,"Lee County, TX",48287,209,17706,1180.4
,"Leon County, TX",48289,274,15959,1716.9
,"Liberty County, TX",48291,1157,97621,1185.2
,"Limestone County, TX",48293,400,22119,1808.4
,"Lipscomb County, TX",48295,40,2931,1364.7
,"Live Oak County, TX",48297,156,11377,1371.2
,"Llano County, TX",48299,412,21978,1874.6
,"Loving County, TX",48301,Suppressed,57,Suppressed
,"Lubbock County, TX",48303,3352,314451,1066
,"Lynn County, TX",48305,85,5688,1494.4
,"McCulloch County, TX",48307,166,7533,2203.6
,"McLennan County, TX",48309,2940,263115,1117.4
,"McMullen County, TX",48311,14,608,Unreliable
,"Madison County, TX",48313,177,13718,1290.3
,"Marion County, TX",48315,212,9645,2198
,"Martin County, TX",48317,53,5211,1017.1
,"Mason County, TX",48319,67,3943,1699.2
,"Matagorda County, TX",48321,468,36344,1287.7
,"Maverick County, TX",48323,621,58056,1069.7
,"Medina County, TX",48325,587,51981,1129.3
,"Menard County, TX",48327,38,1982,1917.3
,"Midland County, TX",48329,1404,167969,835.9
,"Milam County, TX",48331,415,25106,1653
,"Mills County, TX",48333,92,4480,2053.6
,"Mitchell County, TX",48335,109,9070,1201.8
,"Montague County, TX",48337,370,20409,1812.9
,"Montgomery County, TX",48339,5412,648886,834
,"Moore County, TX",48341,190,21118,899.7
,"Morris County, TX",48343,229,12030,1903.6
,"Motley County, TX",48345,31,1067,2905.3
,"Nacogdoches County, TX",48347,793,64668,1226.3
,"Navarro County, TX",48349,687,53591,1281.9
,"Newton County, TX",48351,232,12241,1895.3
,"Nolan County, TX",48353,214,14597,1466.1
,"Nueces County, TX",48355,4067,353079,1151.9
,"Ochiltree County, TX",48357,89,9782,909.8
,"Oldham County, TX",48359,19,1717,Unreliable
,"Orange County, TX",48361,1241,84742,1464.4
,"Palo Pinto County, TX",48363,458,28686,1596.6
,"Panola County, TX",48365,371,22675,1636.2
,"Parker County, TX",48367,1616,156764,1030.8
,"Parmer County, TX",48369,103,9813,1049.6
,"Pecos County, TX",48371,176,15118,1164.2
,"Polk County, TX",48373,964,51899,1857.5
,"Potter County, TX",48375,1584,116547,1359.1
,"Presidio County, TX",48377,71,6140,1156.4
