Notes,County,County Code,Month,Month Code,Deaths,Population,Crude Rate
,"Anderson County, TX",48001,"Jan., 2021 ",2021/01,73,Not Applicable,Not Applicable
,"Anderson County, TX",48001,"Feb., 2021 ",2021/02,42,Not Applicable,Not Applicable
,"Anderson County, TX",48001,"Mar., 2021 ",2021/03,30,Not Applicable,Not Applicable
,"Anderson County, TX",48001,"Apr., 2021 ",2021/04,41,Not Applicable,Not Applicable
,"Anderson County, TX",48001,"May, 2021 ",2021/05,36,Not Applicable,Not Applicable
,"Anderson County, TX",48001,"Jun., 2021 ",2021/06,36,Not Applicable,Not Applicable
,"Anderson County, TX",48001,"Jul., 2021 ",2021/07,32,Not Applicable,Not Applicable
,"Anderson County, TX",48001,"Aug., 2021 ",2021/08,46,Not Applicable,Not Applicable
,"Anderson County, TX",48001,"Sep., 2021 ",2021/09,85,Not Applicable,Not Applicable
,"Anderson County, TX",48001,"Oct., 2021 ",2021/10,45,Not Applicable,Not Applicable
,"Anderson County, TX",48001,"Nov., 2021 ",2021/11,41,Not Applicable,Not Applicable
,"Anderson County, TX",48001,"Dec., 2021 ",2021/12,36,Not Applicable,Not Applicable
,"Andrews County, TX",48003,"Jan., 2021 ",2021/01,15,Not Applicable,Not Applicable
,"Andrews County, TX",48003,"Feb., 2021 ",2021/02,Suppressed,Not Applicable,Not Applicable
,"Andrews County, TX",48003,"Mar., 2021 ",2021/03,Suppressed,Not Applicable,Not Applicable
,"Andrews County, TX",48003,"Apr., 2021 ",2021/04,Suppressed,Not Applicable,Not Applicable
,"Andrews County, TX",48003,"May, 2021 ",2021/05,Suppressed,Not Applicable,Not Applicable
,"Andrews County, TX",48003,"Jun., 2021 ",2021/06,Suppressed,Not Applicable,Not Applicable
,"Andrews County, TX",48003,"Jul., 2021 ",2021/07,Suppressed,Not Applicable,Not Applicable
,"Andrews County, TX",48003,"Aug., 2021 ",2021/08,Suppressed,Not Applicable,Not Applicable
,"Andrews County, TX",48003,"Sep., 2021 ",2021/09,11,Not Applicable,Not Applicable
,"Andrews County, TX",48003,"Oct., 2021 ",2021/10,16,Not Applicable,Not Applicable
,"Andrews County, TX",48003,"Nov., 2021 ",2021/11,Suppressed,Not Applicable,Not Applicable
,"Andrews County, TX",48003,"Dec., 2021 ",2021/12,Suppressed,Not Applicable,Not Applicable
,"Angelina County, TX",48005,"Jan., 2021 ",2021/01,117,Not Applicable,Not Applicable
,"Angelina County, TX",48005,"Feb., 2021 ",2021/02,73,Not Applicable,Not Applicable
,"Angelina County, TX",48005,"Mar., 2021 ",2021/03,56,Not Applicable,Not Applicable
,"Angelina County, TX",48005,"Apr., 2021 ",2021/04,59,Not Applicable,Not Applicable
,"Angelina County, TX",48005,"May, 2021 ",2021/05,62,Not Applicable,Not Applicable
,"Angelina County, TX",48005,"Jun., 2021 ",2021/06,47,Not Applicable,Not Applicable
,"Angelina County, TX",48005,"Jul., 2021 ",2021/07,41,Not Applicable,Not Applicable
,"Angelina County, TX",48005,"Aug., 2021 ",2021/08,109,Not Applicable,Not Applicable
,"Angelina County, TX",48005,"Sep., 2021 ",2021/09,100,Not Applicable,Not Applicable
,"Angelina County, TX",48005,"Oct., 2021 ",2021/10,86,Not Applicable,Not Applicable
,"Angelina County, TX",48005,"Nov., 2021 ",2021/11,64,Not Applicable,Not Applicable
,"Angelina County, TX",48005,"Dec., 2021 ",2021/12,65,Not Applicable,Not Applicable
,"Aransas County, TX",48007,"Jan., 2021 ",2021/01,20,Not Applicable,Not Applicable
,"Aransas County, TX",48007,"Feb., 2021 ",2021/02,14,Not Applicable,Not Applicable
,"Aransas County, TX",48007,"Mar., 2021 ",2021/03,22,Not Applicable,Not Applicable
,"Aransas County, TX",48007,"Apr., 2021 ",2021/04,15,Not Applicable,Not Applicable
,"Aransas County, TX",48007,"May, 2021 ",2021/05,20,Not Applicable,Not Applicable
,"Aransas County, TX",48007,"Jun., 2021 ",2021/06,22,Not Applicable,Not Applicable
,"Aransas County, TX",48007,"Jul., 2021 ",2021/07,15,Not Applicable,Not Applicable
,"Aransas County, TX",48007,"Aug., 2021 ",2021/08,20,Not Applicable,Not Applicable
,"Aransas County, TX",48007,"Sep., 2021 ",2021/09,25,Not Applicable,Not Applicable
,"Aransas County, TX",48007,"Oct., 2021 ",2021/10,16,Not Applicable,Not Applicable
,"Aransas County, TX",48007,"Nov., 2021 ",2021/11,Suppressed,Not Applicable,Not Applicable
,"Aransas County, TX",48007,"Dec., 2021 ",2021/12,16,Not Applicable,Not Applicable
,"Archer County, TX",48009,"Jan., 2021 ",2021/01,Suppressed,Not Applicable,Not Applicable
,"Archer County, TX",48009,"Feb., 2021 ",2021/02,10,Not Applicable,Not Applicable
,"Archer County, TX",48009,"Mar., 2021 ",2021/03,Suppressed,Not Applicable,Not Applicable
,"Archer County, TX",48009,"Apr., 2021 ",2021/04,Suppressed,Not Applicable,Not Applicable
,"Archer County, TX",48009,"May, 2021 ",2021/05,Suppressed,Not Applicable,Not Applicable
,"Archer County, TX",48009,"Jun., 2021 ",2021/06,Suppressed,Not Applicable,Not Applicable
,"Archer County, TX",48009,"Jul., 2021 ",2021/07,Suppressed,Not Applicable,Not Applicable
,"Archer County, TX",48009,"Aug., 2021 ",2021/08,Suppressed,Not Applicable,Not Applicable
,"Archer County, TX",48009,"Sep., 2021 ",2021/09,Suppressed,Not Applicable,Not Applicable
,"Archer County, TX",48009,"Oct., 2021 ",2021/10,13,Not Applicable,Not Applicable
,"Archer County, TX",48009,"Nov., 2021 ",2021/11,Suppressed,Not Applicable,Not Applicable
,"Archer County, TX",48009,"Dec., 2021 ",2021/12,Suppressed,Not Applicable,Not Applicable
,"Armstrong County, TX",48011,"Jan., 2021 ",2021/01,0,Not Applicable,Not Applicable
,"Armstrong County, TX",48011,"Feb., 2021 ",2021/02,0,Not Applicable,Not Applicable
,"Armstrong County, TX",48011,"Mar., 2021 ",2021/03,Suppressed,Not Applicable,Not Applicable
,"Armstrong County, TX",48011,"Apr., 2021 ",2021/04,0,Not Applicable,Not Applicable
,"Armstrong County, TX",48011,"May, 2021 ",2021/05,Suppressed,Not Applicable,Not Applicable
,"Armstrong County, TX",48011,"Jun., 2021 ",2021/06,Suppressed,Not Applicable,Not Applicable
,"Armstrong County, TX",48011,"Jul., 2021 ",2021/07,Suppressed,Not Applicable,Not Applicable
,"Armstrong County, TX",48011,"Aug., 2021 ",2021/08,0,Not Applicable,Not Applicable
,"Armstrong County, TX",48011,"Sep., 2021 ",2021/09,Suppressed,Not Applicable,Not Applicable
,"Armstrong County, TX",48011,"Oct., 2021 ",2021/10,0,Not Applicable,Not Applicable
,"Armstrong County, TX",48011,"Nov., 2021 ",2021/11,Suppressed,Not Applicable,Not Applicable
,"Armstrong County, TX",48011,"Dec., 2021 ",2021/12,Suppressed,Not Applicable,Not Applicable
,"Atascosa County, TX",48013,"Jan., 2021 ",2021/01,65,Not Applicable,Not Applicable
,"Atascosa County, TX",48013,"Feb., 2021 ",2021/02,37,Not Applicable,Not Applicable
,"Atascosa County, TX",48013,"Mar., 2021 ",2021/03,22,Not Applicable,Not Applicable
,"Atascosa County, TX",48013,"Apr., 2021 ",2021/04,13,Not Applicable,Not Applicable
,"Atascosa County, TX",48013,"May, 2021 ",2021/05,22,Not Applicable,Not Applicable
,"Atascosa County, TX",48013,"Jun., 2021 ",2021/06,15,Not Applicable,Not Applicable
,"Atascosa County, TX",48013,"Jul., 2021 ",2021/07,23,Not Applicable,Not Applicable
,"Atascosa County, TX",48013,"Aug., 2021 ",2021/08,48,Not Applicable,Not Applicable
,"Atascosa County, TX",48013,"Sep., 2021 ",2021/09,50,Not Applicable,Not Applicable
,"Atascosa County, TX",48013,"Oct., 2021 ",2021/10,23,Not Applicable,Not Applicable
