Notes,County,County Code,Month,Month Code,Deaths,Population,Crude Rate
,"Adair County, OK",40001,"Jan., 2019",2019/01,Suppressed,Not Applicable,Not Applicable
,"Adair County, OK",40001,"Feb., 2019",2019/02,Suppressed,Not Applicable,Not Applicable
,"Adair County, OK",40001,"Mar., 2019",2019/03,17,Not Applicable,Not Applicable
,"Adair County, OK",40001,"Apr., 2019",2019/04,14,Not Applicable,Not Applicable
,"Adair County, OK",40001,"May, 2019",2019/05,10,Not Applicable,Not Applicable
,"Adair County, OK",40001,"Jun., 2019",2019/06,Suppressed,Not Applicable,Not Applicable
,"Adair County, OK",40001,"Jul., 2019",2019/07,Suppressed,Not Applicable,Not Applicable
,"Adair County, OK",40001,"Aug., 2019",2019/08,13,Not Applicable,Not Applicable
,"Adair County, OK",40001,"Sep., 2019",2019/09,13,Not Applicable,Not Applicable
,"Adair County, OK",40001,"Oct., 2019",2019/10,Suppressed,Not Applicable,Not Applicable
,"Adair County, OK",40001,"Nov., 2019",2019/11,12,Not Applicable,Not Applicable
,"Adair County, OK",40001,"Dec., 2019",2019/12,12,Not Applicable,Not Applicable
,"Alfalfa County, OK",40003,"Jan., 2019",2019/01,Suppressed,Not Applicable,Not Applicable
,"Alfalfa County, OK",40003,"Feb., 2019",2019/02,Suppressed,Not Applicable,Not Applicable
,"Alfalfa County, OK",40003,"Mar., 2019",2019/03,Suppressed,Not Applicable,Not Applicable
,"Alfalfa County, OK",40003,"Apr., 2019",2019/04,Suppressed,Not Applicable,Not Applicable
,"Alfalfa County, OK",40003,"May, 2019",2019/05,Suppressed,Not Applicable,Not Applicable
,"Alfalfa County, OK",40003,"Jun., 2019",2019/06,Suppressed,Not Applicable,Not Applicable
,"Alfalfa County, OK",40003,"Jul., 2019",2019/07,Suppressed,Not Applicable,Not Applicable
,"Alfalfa County, OK",40003,"Aug., 2019",2019/08,Suppressed,Not Applicable,Not Applicable
,"Alfalfa County, OK",40003,"Sep., 2019",2019/09,Suppressed,Not Applicable,Not Applicable
,"Alfalfa County, OK",40003,"Oct., 2019",2019/10,Suppressed,Not Applicable,Not Applicable
,"Alfalfa County, OK",40003,"Nov., 2019",2019/11,Suppressed,Not Applicable,Not Applicable
,"Alfalfa County, OK",40003,"Dec., 2019",2019/12,Suppressed,Not Applicable,Not Applicable
,"Atoka County, OK",40005,"Jan., 2019",2019/01,10,Not Applicable,Not Applicable
,"Atoka County, OK",40005,"Feb., 2019",2019/02,Suppressed,Not Applicable,Not Applicable
,"Atoka County, OK",40005,"Mar., 2019",2019/03,Suppressed,Not Applicable,Not Applicable
,"Atoka County, OK",40005,"Apr., 2019",2019/04,Suppressed,Not Applicable,Not Applicable
,"Atoka County, OK",40005,"May, 2019",2019/05,12,Not Applicable,Not Applicable
,"Atoka County, OK",40005,"Jun., 2019",2019/06,Suppressed,Not Applicable,Not Applicable
,"Atoka County, OK",40005,"Jul., 2019",2019/07,Suppressed,Not Applicable,Not Applicable
,"Atoka County, OK",40005,"Aug., 2019",2019/08,Suppressed,Not Applicable,Not Applicable
,"Atoka County, OK",40005,"Sep., 2019",2019/09,11,Not Applicable,Not Applicable
,"Atoka County, OK",40005,"Oct., 2019",2019/10,Suppressed,Not Applicable,Not Applicable
,"Atoka County, OK",40005,"Nov., 2019",2019/11,10,Not Applicable,Not Applicable
,"Atoka County, OK",40005,"Dec., 2019",2019/12,10,Not Applicable,Not Applicable
,"Beaver County, OK",40007,"Jan., 2019",2019/01,Suppressed,Not Applicable,Not Applicable
,"Beaver County, OK",40007,"Feb., 2019",2019/02,Suppressed,Not Applicable,Not Applicable
,"Beaver County, OK",40007,"Mar., 2019",2019/03,Suppressed,Not Applicable,Not Applicable
,"Beaver County, OK",40007,"Apr., 2019",2019/04,Suppressed,Not Applicable,Not Applicable
,"Beaver County, OK",40007,"May, 2019",2019/05,Suppressed,Not Applicable,Not Applicable
,"Beaver County, OK",40007,"Jun., 2019",2019/06,Suppressed,Not Applicable,Not Applicable
,"Beaver County, OK",40007,"Jul., 2019",2019/07,Suppressed,Not Applicable,Not Applicable
,"Beaver County, OK",40007,"Aug., 2019",2019/08,Suppressed,Not Applicable,Not Applicable
,"Beaver County, OK",40007,"Sep., 2019",2019/09,Suppressed,Not Applicable,Not Applicable
,"Beaver County, OK",40007,"Oct., 2019",2019/10,Suppressed,Not Applicable,Not Applicable
,"Beaver County, OK",40007,"Nov., 2019",2019/11,Suppressed,Not Applicable,Not Applicable
,"Beaver County, OK",40007,"Dec., 2019",2019/12,0,Not Applicable,Not Applicable
,"Beckham County, OK",40009,"Jan., 2019",2019/01,17,Not Applicable,Not Applicable
,"Beckham County, OK",40009,"Feb., 2019",2019/02,14,Not Applicable,Not Applicable
,"Beckham County, OK",40009,"Mar., 2019",2019/03,14,Not Applicable,Not Applicable
