Notes,County,County Code,Deaths,Population,Crude Rate
,"Anderson County, TX",48001,668,57735,1157.010478912
,"Andrews County, TX",48003,125,18705,668.270515905
,"Angelina County, TX",48005,909,86715,1048.261546445
,"Aransas County, TX",48007,361,23510,1535.516801361
,"Archer County, TX",48009,99,8553,1157.488600491
,"Armstrong County, TX",48011,32,1887,1695.813460519
,"Atascosa County, TX",48013,437,51153,854.299845561
,"Austin County, TX",48015,302,30032,1005.594033031
,"Bailey County, TX",48017,62,7000,885.714285714
,"Bandera County, TX",48019,285,23112,1233.125649013
,"Bastrop County, TX",48021,685,88723,772.065867926
,"Baylor County, TX",48023,64,3509,1823.881447706
,"Bee County, TX",48025,268,32565,822.969445724
,"Bell County, TX",48027,2510,362924,691.604853909
,"Bexar County, TX",48029,13945,2003554,696.013184571
,"Blanco County, TX",48031,118,11931,989.02019948
,"Borden County, TX",48033,11,654,Unreliable
,"Bosque County, TX",48035,262,18685,1402.194273481
,"Bowie County, TX",48037,1082,93245,1160.383934795
,"Brazoria County, TX",48039,2421,374264,646.869589381
,"Brazos County, TX",48041,1129,229211,492.559257627
,"Brewster County, TX",48043,92,9203,999.674019341
,"Briscoe County, TX",48045,19,1546,Unreliable
,"Brooks County, TX",48047,91,7093,1282.955026082
,"Brown County, TX",48049,531,37864,1402.387492077
,"Burleson County, TX",48051,241,18443,1306.72884021
,"Burnet County, TX",48053,558,48155,1158.758176721
,"Caldwell County, TX",48055,386,43664,884.023451814
,"Calhoun County, TX",48057,204,21290,958.196336308
,"Callahan County, TX",48059,169,13943,1212.077745105
,"Cameron County, TX",48061,2782,423163,657.429879266
,"Camp County, TX",48063,146,13094,1115.014510463
,"Carson County, TX",48065,54,5926,911.238609517
,"Cass County, TX",48067,417,30026,1388.796376474
,"Castro County, TX",48069,59,7530,783.532536521
,"Chambers County, TX",48071,294,43837,670.666332094
,"Cherokee County, TX",48073,553,52646,1050.412187061
,"Childress County, TX",48075,95,7306,1300.301122365
,"Clay County, TX",48077,145,10471,1384.777003152
,"Cochran County, TX",48079,31,2853,1086.575534525
,"Coke County, TX",48081,51,3387,1505.757307352
,"Coleman County, TX",48083,162,8175,1981.651376147
,"Collin County, TX",48085,4869,1034730,470.557536749
,"Collingsworth County, TX",48087,36,2920,1232.876712329
,"Colorado County, TX",48089,268,21493,1246.917601079
,"Comal County, TX",48091,1321,156209,845.661901683
,"Comanche County, TX",48093,191,13635,1400.806747341
,"Concho County, TX",48095,37,2726,1357.300073368
,"Cooke County, TX",48097,454,41257,1100.419322782
,"Coryell County, TX",48099,533,75951,701.768245316
,"Cottle County, TX",48101,14,1398,Unreliable
,"Crane County, TX",48103,46,4797,958.93266625
,"Crockett County, TX",48105,41,3464,1183.602771363
,"Crosby County, TX",48107,66,5737,1150.427052466
,"Culberson County, TX",48109,26,2171,1197.604790419
,"Dallam County, TX",48111,49,7287,672.430355427
,"Dallas County, TX",48113,16531,2635516,627.23959938
,"Dawson County, TX",48115,128,12728,1005.65681961
,"Deaf Smith County, TX",48117,156,18546,841.151730831
,"Delta County, TX",48119,54,5331,1012.943162634
,"Denton County, TX",48121,4124,887207,464.829515547
,"DeWitt County, TX",48123,271,20160,1344.246031746
,"Dickens County, TX",48125,29,2211,1311.623699683
,"Dimmit County, TX",48127,103,10124,1017.38443303
,"Donley County, TX",48129,56,3278,1708.358755339
,"Duval County, TX",48131,118,11157,1057.631979923
,"Eastland County, TX",48133,277,18360,1508.71459695
,"Ector County, TX",48135,1275,166223,767.041865446
,"Edwards County, TX",48137,25,1932,1293.995859213
,"Ellis County, TX",48139,1314,184826,710.938937162
,"El Paso County, TX",48141,5724,839238,682.047285752
,"Erath County, TX",48143,315,42698,737.739472575
,"Falls County, TX",48145,182,17297,1052.205584783
,"Fannin County, TX",48147,444,35514,1250.211184322
,"Fayette County, TX",48149,296,25346,1167.837134065
,"Fisher County, TX",48151,46,3830,1201.044386423
,"Floyd County, TX",48153,67,5712,1172.969187675
,"Foard County, TX",48155,21,1155,1818.181818182
,"Fort Bend County, TX",48157,3608,811688,444.50577069
,"Franklin County, TX",48159,119,10725,1109.557109557
,"Freestone County, TX",48161,232,19717,1176.649591723
,"Frio County, TX",48163,146,20306,718.999310549
,"Gaines County, TX",48165,131,21492,609.529127117
,"Galveston County, TX",48167,2850,342139,832.994776977
,"Garza County, TX",48169,44,6229,706.373414673
,"Gillespie County, TX",48171,340,26988,1259.819178894
,"Glasscock County, TX",48173,Suppressed,1409,Suppressed
,"Goliad County, TX",48175,76,7658,992.426220945
,"Gonzales County, TX",48177,224,20837,1075.0107981
,"Gray County, TX",48179,265,21886,1210.819702093
,"Grayson County, TX",48181,1473,136212,1081.402519602
,"Gregg County, TX",48183,1365,123945,1101.294929203
,"Grimes County, TX",48185,308,28880,1066.48199446
,"Guadalupe County, TX",48187,1197,166847,717.423747505
,"Hale County, TX",48189,333,33406,996.82691732
,"Hall County, TX",48191,46,2964,1551.956815115
,"Hamilton County, TX",48193,136,8461,1607.375014774
,"Hansford County, TX",48195,52,5399,963.141322467
,"Hardeman County, TX",48197,47,3933,1195.016526824
,"Hardin County, TX",48199,625,57602,1085.03176973
,"Harris County, TX",48201,26730,4713325,567.115571279
,"Harrison County, TX",48203,663,66553,996.198518474
,"Hartley County, TX",48205,34,5576,609.756097561
,"Haskell County, TX",48207,71,5658,1254.860374691
,"Hays County, TX",48209,1182,230191,513.486626323
,"Hemphill County, TX",48211,34,3819,890.28541503
,"Henderson County, TX",48213,1139,82737,1376.651316823
,"Hidalgo County, TX",48215,4763,868707,548.286130997
,"Hill County, TX",48217,468,36649,1276.978908019
,"Hockley County, TX",48219,223,23021,968.680769732
,"Hood County, TX",48221,745,61643,1208.57193842
,"Hopkins County, TX",48223,436,37084,1175.709200733
,"Houston County, TX",48225,273,22968,1188.610240334
,"Howard County, TX",48227,337,36664,919.157756928
,"Hudspeth County, TX",48229,33,4886,675.399099468
,"Hunt County, TX",48231,973,98594,986.875469095
,"Hutchinson County, TX",48233,270,20938,1289.521444264
,"Irion County, TX",48235,15,1536,Unreliable
,"Jack County, TX",48237,101,8935,1130.386121992
,"Jackson County, TX",48239,146,14760,989.159891599
,"Jasper County, TX",48241,454,35529,1277.829378817
,"Jeff Davis County, TX",48243,29,2274,1275.28583993
,"Jefferson County, TX",48245,2465,251565,979.866038598
,"Jim Hogg County, TX",48247,51,5200,980.769230769
,"Jim Wells County, TX",48249,433,40482,1069.611185218
,"Johnson County, TX",48251,1543,175817,877.617067747
,"Jones County, TX",48253,171,20083,851.46641438
,"Karnes County, TX",48255,164,15601,1051.214665727
,"Kaufman County, TX",48257,1102,136154,809.377616523
,"Kendall County, TX",48259,388,47431,818.030402058
,"Kenedy County, TX",48261,Suppressed,404,Suppressed
,"Kent County, TX",48263,Suppressed,762,Suppressed
,"Kerr County, TX",48265,736,52600,1399.239543726
