Notes,County,County Code,Deaths,Population,Crude Rate
,"Anderson County, TX",48001,668,57735,1157
,"Andrews County, TX",48003,125,18705,668.3
,"Angelina County, TX",48005,909,86715,1048.3
,"Aransas County, TX",48007,361,23510,1535.5
,"Archer County, TX",48009,99,8553,1157.5
,"Armstrong County, TX",48011,32,1887,1695.8
,"Atascosa County, TX",48013,437,51153,854.3
,"Austin County, TX",48015,302,30032,1005.6
,"Bailey County, TX",48017,62,7000,885.7
,"Bandera County, TX",48019,285,23112,1233.1
,"Bastrop County, TX",48021,685,88723,772.1
,"Baylor County, TX",48023,64,3509,1823.9
,"Bee County, TX",48025,268,32565,823
,"Bell County, TX",48027,2510,362924,691.6
,"Bexar County, TX",48029,13945,2003554,696
,"Blanco County, TX",48031,118,11931,989
,"Borden County, TX",48033,11,654,Unreliable
,"Bosque County, TX",48035,262,18685,1402.2
,"Bowie County, TX",48037,1082,93245,1160.4
,"Brazoria County, TX",48039,2421,374264,646.9
,"Brazos County, TX",48041,1129,229211,492.6
,"Brewster County, TX",48043,92,9203,999.7
,"Briscoe County, TX",48045,19,1546,Unreliable
,"Brooks County, TX",48047,91,7093,1283
,"Brown County, TX",48049,531,37864,1402.4
,"Burleson County, TX",48051,241,18443,1306.7
,"Burnet County, TX",48053,558,48155,1158.8
,"Caldwell County, TX",48055,386,43664,884
,"Calhoun County, TX",48057,204,21290,958.2
,"Callahan County, TX",48059,169,13943,1212.1
,"Cameron County, TX",48061,2782,423163,657.4
,"Camp County, TX",48063,146,13094,1115
,"Carson County, TX",48065,54,5926,911.2
,"Cass County, TX",48067,417,30026,1388.8
,"Castro County, TX",48069,59,7530,783.5
,"Chambers County, TX",48071,294,43837,670.7
,"Cherokee County, TX",48073,553,52646,1050.4
,"Childress County, TX",48075,95,7306,1300.3
,"Clay County, TX",48077,145,10471,1384.8
,"Cochran County, TX",48079,31,2853,1086.6
,"Coke County, TX",48081,51,3387,1505.8
,"Coleman County, TX",48083,162,8175,1981.7
,"Collin County, TX",48085,4869,1034730,470.6
,"Collingsworth County, TX",48087,36,2920,1232.9
,"Colorado County, TX",48089,268,21493,1246.9
,"Comal County, TX",48091,1321,156209,845.7
,"Comanche County, TX",48093,191,13635,1400.8
,"Concho County, TX",48095,37,2726,1357.3
,"Cooke County, TX",48097,454,41257,1100.4
,"Coryell County, TX",48099,533,75951,701.8
,"Cottle County, TX",48101,14,1398,Unreliable
,"Crane County, TX",48103,46,4797,958.9
,"Crockett County, TX",48105,41,3464,1183.6
,"Crosby County, TX",48107,66,5737,1150.4
,"Culberson County, TX",48109,26,2171,1197.6
,"Dallam County, TX",48111,49,7287,672.4
,"Dallas County, TX",48113,16531,2635516,627.2
,"Dawson County, TX",48115,128,12728,1005.7
,"Deaf Smith County, TX",48117,156,18546,841.2
,"Delta County, TX",48119,54,5331,1012.9
,"Denton County, TX",48121,4124,887207,464.8
,"DeWitt County, TX",48123,271,20160,1344.2
,"Dickens County, TX",48125,29,2211,1311.6
,"Dimmit County, TX",48127,103,10124,1017.4
,"Donley County, TX",48129,56,3278,1708.4
,"Duval County, TX",48131,118,11157,1057.6
,"Eastland County, TX",48133,277,18360,1508.7
,"Ector County, TX",48135,1275,166223,767
,"Edwards County, TX",48137,25,1932,1294
,"Ellis County, TX",48139,1314,184826,710.9
,"El Paso County, TX",48141,5724,839238,682
,"Erath County, TX",48143,315,42698,737.7
,"Falls County, TX",48145,182,17297,1052.2
,"Fannin County, TX",48147,444,35514,1250.2
,"Fayette County, TX",48149,296,25346,1167.8
,"Fisher County, TX",48151,46,3830,1201
,"Floyd County, TX",48153,67,5712,1173
,"Foard County, TX",48155,21,1155,1818.2
,"Fort Bend County, TX",48157,3608,811688,444.5
,"Franklin County, TX",48159,119,10725,1109.6
,"Freestone County, TX",48161,232,19717,1176.6
,"Frio County, TX",48163,146,20306,719
,"Gaines County, TX",48165,131,21492,609.5
,"Galveston County, TX",48167,2850,342139,833
,"Garza County, TX",48169,44,6229,706.4
,"Gillespie County, TX",48171,340,26988,1259.8
,"Glasscock County, TX",48173,Suppressed,1409,Suppressed
,"Goliad County, TX",48175,76,7658,992.4
,"Gonzales County, TX",48177,224,20837,1075
,"Gray County, TX",48179,265,21886,1210.8
,"Grayson County, TX",48181,1473,136212,1081.4
,"Gregg County, TX",48183,1365,123945,1101.3
,"Grimes County, TX",48185,308,28880,1066.5
,"Guadalupe County, TX",48187,1197,166847,717.4
,"Hale County, TX",48189,333,33406,996.8
,"Hall County, TX",48191,46,2964,1552
,"Hamilton County, TX",48193,136,8461,1607.4
,"Hansford County, TX",48195,52,5399,963.1
,"Hardeman County, TX",48197,47,3933,1195
,"Hardin County, TX",48199,625,57602,1085
,"Harris County, TX",48201,26730,4713325,567.1
,"Harrison County, TX",48203,663,66553,996.2
,"Hartley County, TX",48205,34,5576,609.8
,"Haskell County, TX",48207,71,5658,1254.9
,"Hays County, TX",48209,1182,230191,513.5
,"Hemphill County, TX",48211,34,3819,890.3
,"Henderson County, TX",48213,1139,82737,1376.7
,"Hidalgo County, TX",48215,4763,868707,548.3
,"Hill County, TX",48217,468,36649,1277
,"Hockley County, TX",48219,223,23021,968.7
,"Hood County, TX",48221,745,61643,1208.6
,"Hopkins County, TX",48223,436,37084,1175.7
,"Houston County, TX",48225,273,22968,1188.6
,"Howard County, TX",48227,337,36664,919.2
,"Hudspeth County, TX",48229,33,4886,675.4
,"Hunt County, TX",48231,973,98594,986.9
,"Hutchinson County, TX",48233,270,20938,1289.5
,"Irion County, TX",48235,15,1536,Unreliable
,"Jack County, TX",48237,101,8935,1130.4
,"Jackson County, TX",48239,146,14760,989.2
,"Jasper County, TX",48241,454,35529,1277.8
