Notes,County,County Code,Deaths,Population,Crude Rate
,"Jefferson County, TX",48245,2970,250127,1187.396802424
,"Jim Hogg County, TX",48247,60,5184,1157.407407407
,"Jim Wells County, TX",48249,495,40452,1223.672500742
,"Johnson County, TX",48251,1839,179575,1024.084644299
,"Jones County, TX",48253,263,19875,1323.270440252
,"Karnes County, TX",48255,189,15562,1214.496851305
,"Kaufman County, TX",48257,1283,143198,895.962234109
,"Kendall County, TX",48259,457,48523,941.821404282
,"Kenedy County, TX",48261,Suppressed,379,Suppressed
,"Kent County, TX",48263,17,786,Unreliable
,"Kerr County, TX",48265,831,52869,1571.809567043
,"Kimble County, TX",48267,65,4396,1478.616924477
,"King County, TX",48269,Suppressed,283,Suppressed
,"Kinney County, TX",48271,47,3670,1280.653950954
,"Kleberg County, TX",48273,349,30338,1150.372470169
,"Knox County, TX",48275,75,3683,2036.383383112
,"Lamar County, TX",48277,791,49905,1585.011521892
,"Lamb County, TX",48279,225,12710,1770.25963808
,"Lampasas County, TX",48281,286,21789,1312.588921015
,"La Salle County, TX",48283,78,7500,1040
,"Lavaca County, TX",48285,319,20216,1577.958053027
,"Lee County, TX",48287,227,17397,1304.822670575
,"Leon County, TX",48289,252,17493,1440.576230492
,"Liberty County, TX",48291,888,91547,969.993555223
,"Limestone County, TX",48293,338,23340,1448.157669237
,"Lipscomb County, TX",48295,36,3111,1157.18418515
,"Live Oak County, TX",48297,157,12324,1273.937033431
,"Llano County, TX",48299,378,21958,1721.468257583
,"Loving County, TX",48301,0,181,Unreliable
,"Lubbock County, TX",48303,3479,314772,1105.24443089
,"Lynn County, TX",48305,94,6025,1560.165975104
,"McCulloch County, TX",48307,125,7823,1597.852486258
,"McLennan County, TX",48309,2749,259730,1058.406807069
,"McMullen County, TX",48311,18,721,Unreliable
,"Madison County, TX",48313,168,14427,1164.483260553
,"Marion County, TX",48315,187,9960,1877.510040161
,"Martin County, TX",48317,66,5816,1134.800550206
,"Mason County, TX",48319,48,4344,1104.972375691
,"Matagorda County, TX",48321,467,36725,1271.61334241
