year,state,county,county_code,annual_county_population,annual_all_deaths,annual_hospital_deaths,month,monthly_hospital_deaths,monthly_covid_hospital_deaths
2018,OK,Adair,40001,22082,257,156,1,16,0
2018,OK,Adair,40001,22082,257,156,2,20,0
2018,OK,Adair,40001,22082,257,156,3,15,0
2018,OK,Adair,40001,22082,257,156,4,14,0
2018,OK,Adair,40001,22082,257,156,5,Suppressed,0
2018,OK,Adair,40001,22082,257,156,6,11,0
2018,OK,Adair,40001,22082,257,156,7,10,0
2018,OK,Adair,40001,22082,257,156,8,17,0
2018,OK,Adair,40001,22082,257,156,9,Suppressed,0
2018,OK,Adair,40001,22082,257,156,10,11,0
2018,OK,Adair,40001,22082,257,156,11,Suppressed,0
2018,OK,Adair,40001,22082,257,156,12,17,0
2018,OK,Alfalfa,40003,5754,68,39,1,Suppressed,0
2018,OK,Alfalfa,40003,5754,68,39,2,Suppressed,0
2018,OK,Alfalfa,40003,5754,68,39,3,Suppressed,0
2018,OK,Alfalfa,40003,5754,68,39,4,Suppressed,0
2018,OK,Alfalfa,40003,5754,68,39,5,Suppressed,0
2018,OK,Alfalfa,40003,5754,68,39,6,Suppressed,0
2018,OK,Alfalfa,40003,5754,68,39,7,Suppressed,0
2018,OK,Alfalfa,40003,5754,68,39,8,Suppressed,0
2018,OK,Alfalfa,40003,5754,68,39,9,Suppressed,0
2018,OK,Alfalfa,40003,5754,68,39,10,Suppressed,0
2018,OK,Alfalfa,40003,5754,68,39,11,Suppressed,0
2018,OK,Alfalfa,40003,5754,68,39,12,Suppressed,0
2018,OK,Atoka,40005,13838,169,88,1,18,0
2018,OK,Atoka,40005,13838,169,88,2,Suppressed,0
2018,OK,Atoka,40005,13838,169,88,3,Suppressed,0
2018,OK,Atoka,40005,13838,169,88,4,Suppressed,0
2018,OK,Atoka,40005,13838,169,88,5,Suppressed,0
2018,OK,Atoka,40005,13838,169,88,6,Suppressed,0
2018,OK,Atoka,40005,13838,169,88,7,Suppressed,0
2018,OK,Atoka,40005,13838,169,88,8,10,0
2018,OK,Atoka,40005,13838,169,88,9,Suppressed,0
2018,OK,Atoka,40005,13838,169,88,10,Suppressed,0
2018,OK,Atoka,40005,13838,169,88,11,Suppressed,0
2018,OK,Atoka,40005,13838,169,88,12,Suppressed,0
2018,OK,Beaver,40007,5319,54,38,1,Suppressed,0
2018,OK,Beaver,40007,5319,54,38,2,Suppressed,0
