year,state,county,county_code,annual_county_population,annual_all_deaths,annual_hospital_deaths,month,monthly_hospital_deaths,monthly_covid_hospital_deaths
2020,OK,Adair,40001,21955,280,149,Jan,13,0
2020,OK,Adair,40001,21955,280,149,Feb,12,0
2020,OK,Adair,40001,21955,280,149,Mar,11,Suppressed
2020,OK,Adair,40001,21955,280,149,Apr,12,Suppressed
2020,OK,Adair,40001,21955,280,149,May,Suppressed,0
2020,OK,Adair,40001,21955,280,149,Jun,11,0
2020,OK,Adair,40001,21955,280,149,Jul,14,Suppressed
2020,OK,Adair,40001,21955,280,149,Aug,12,Suppressed
2020,OK,Adair,40001,21955,280,149,Sep,10,Suppressed
2020,OK,Adair,40001,21955,280,149,Oct,11,Suppressed
2020,OK,Adair,40001,21955,280,149,Nov,17,Suppressed
2020,OK,Adair,40001,21955,280,149,Dec,18,Suppressed
2020,OK,Alfalfa,40003,5718,84,53,Jan,Suppressed,0
2020,OK,Alfalfa,40003,5718,84,53,Feb,Suppressed,0
2020,OK,Alfalfa,40003,5718,84,53,Mar,Suppressed,0
2020,OK,Alfalfa,40003,5718,84,53,Apr,Suppressed,0
2020,OK,Alfalfa,40003,5718,84,53,May,Suppressed,0
2020,OK,Alfalfa,40003,5718,84,53,Jun,Suppressed,0
2020,OK,Alfalfa,40003,5718,84,53,Jul,Suppressed,0
2020,OK,Alfalfa,40003,5718,84,53,Aug,Suppressed,0
2020,OK,Alfalfa,40003,5718,84,53,Sep,Suppressed,Suppressed
2020,OK,Alfalfa,40003,5718,84,53,Oct,Suppressed,0
2020,OK,Alfalfa,40003,5718,84,53,Nov,Suppressed,Suppressed
2020,OK,Alfalfa,40003,5718,84,53,Dec,Suppressed,Suppressed
2020,OK,Atoka,40005,13912,210,120,Jan,Suppressed,0
2020,OK,Atoka,40005,13912,210,120,Feb,13,0
2020,OK,Atoka,40005,13912,210,120,Mar,Suppressed,0
2020,OK,Atoka,40005,13912,210,120,Apr,10,0
2020,OK,Atoka,40005,13912,210,120,May,Suppressed,0
2020,OK,Atoka,40005,13912,210,120,Jun,15,0
2020,OK,Atoka,40005,13912,210,120,Jul,Suppressed,Suppressed
2020,OK,Atoka,40005,13912,210,120,Aug,10,Suppressed
2020,OK,Atoka,40005,13912,210,120,Sep,12,Suppressed
2020,OK,Atoka,40005,13912,210,120,Oct,11,Suppressed
2020,OK,Atoka,40005,13912,210,120,Nov,13,Suppressed
2020,OK,Atoka,40005,13912,210,120,Dec,13,Suppressed
2020,OK,Beaver,40007,5207,62,41,Jan,Suppressed,0
2020,OK,Beaver,40007,5207,62,41,Feb,0,0
2020,OK,Beaver,40007,5207,62,41,Mar,Suppressed,0
2020,OK,Beaver,40007,5207,62,41,Apr,Suppressed,0
2020,OK,Beaver,40007,5207,62,41,May,0,0
2020,OK,Beaver,40007,5207,62,41,Jun,Suppressed,0
2020,OK,Beaver,40007,5207,62,41,Jul,Suppressed,0
2020,OK,Beaver,40007,5207,62,41,Aug,Suppressed,0
2020,OK,Beaver,40007,5207,62,41,Sep,Suppressed,0
2020,OK,Beaver,40007,5207,62,41,Oct,Suppressed,Suppressed
2020,OK,Beaver,40007,5207,62,41,Nov,Suppressed,Suppressed
2020,OK,Beaver,40007,5207,62,41,Dec,Suppressed,Suppressed
2020,OK,Beckham,40009,21468,300,204,Jan,19,0
2020,OK,Beckham,40009,21468,300,204,Feb,15,0
2020,OK,Beckham,40009,21468,300,204,Mar,14,0
2020,OK,Beckham,40009,21468,300,204,Apr,10,Suppressed
