year,state,county,county_code,annual_county_population,annual_all_deaths,annual_hospital_deaths,month,monthly_hospital_deaths,monthly_covid_hospital_deaths
2019,OK,Adair,40001,22194,238,125,Jan,Suppressed,0
2019,OK,Adair,40001,22194,238,125,Feb,Suppressed,0
2019,OK,Adair,40001,22194,238,125,Mar,17,0
2019,OK,Adair,40001,22194,238,125,Apr,14,0
2019,OK,Adair,40001,22194,238,125,May,10,0
2019,OK,Adair,40001,22194,238,125,Jun,Suppressed,0
2019,OK,Adair,40001,22194,238,125,Jul,Suppressed,0
2019,OK,Adair,40001,22194,238,125,Aug,13,0
2019,OK,Adair,40001,22194,238,125,Sep,13,0
2019,OK,Adair,40001,22194,238,125,Oct,Suppressed,0
2019,OK,Adair,40001,22194,238,125,Nov,12,0
2019,OK,Adair,40001,22194,238,125,Dec,12,0
2019,OK,Alfalfa,40003,5702,63,40,Jan,Suppressed,0
2019,OK,Alfalfa,40003,5702,63,40,Feb,Suppressed,0
2019,OK,Alfalfa,40003,5702,63,40,Mar,Suppressed,0
2019,OK,Alfalfa,40003,5702,63,40,Apr,Suppressed,0
2019,OK,Alfalfa,40003,5702,63,40,May,Suppressed,0
2019,OK,Alfalfa,40003,5702,63,40,Jun,Suppressed,0
2019,OK,Alfalfa,40003,5702,63,40,Jul,Suppressed,0
2019,OK,Alfalfa,40003,5702,63,40,Aug,Suppressed,0
2019,OK,Alfalfa,40003,5702,63,40,Sep,Suppressed,0
2019,OK,Alfalfa,40003,5702,63,40,Oct,Suppressed,0
2019,OK,Alfalfa,40003,5702,63,40,Nov,Suppressed,0
2019,OK,Alfalfa,40003,5702,63,40,Dec,Suppressed,0
2019,OK,Atoka,40005,13758,148,94,Jan,10,0
2019,OK,Atoka,40005,13758,148,94,Feb,Suppressed,0
2019,OK,Atoka,40005,13758,148,94,Mar,Suppressed,0
2019,OK,Atoka,40005,13758,148,94,Apr,Suppressed,0
2019,OK,Atoka,40005,13758,148,94,May,12,0
2019,OK,Atoka,40005,13758,148,94,Jun,Suppressed,0
2019,OK,Atoka,40005,13758,148,94,Jul,Suppressed,0
2019,OK,Atoka,40005,13758,148,94,Aug,Suppressed,0
2019,OK,Atoka,40005,13758,148,94,Sep,11,0
2019,OK,Atoka,40005,13758,148,94,Oct,Suppressed,0
2019,OK,Atoka,40005,13758,148,94,Nov,10,0
2019,OK,Atoka,40005,13758,148,94,Dec,10,0
2019,OK,Beaver,40007,5311,64,47,Jan,Suppressed,0
2019,OK,Beaver,40007,5311,64,47,Feb,Suppressed,0
2019,OK,Beaver,40007,5311,64,47,Mar,Suppressed,0
2019,OK,Beaver,40007,5311,64,47,Apr,Suppressed,0
2019,OK,Beaver,40007,5311,64,47,May,Suppressed,0
2019,OK,Beaver,40007,5311,64,47,Jun,Suppressed,0
2019,OK,Beaver,40007,5311,64,47,Jul,Suppressed,0
2019,OK,Beaver,40007,5311,64,47,Aug,Suppressed,0
2019,OK,Beaver,40007,5311,64,47,Sep,Suppressed,0
2019,OK,Beaver,40007,5311,64,47,Oct,Suppressed,0
2019,OK,Beaver,40007,5311,64,47,Nov,Suppressed,0
2019,OK,Beaver,40007,5311,64,47,Dec,0,0
